STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNOW,SNWD,TempAvg,TempMax,TempMin,Fog,Thunder,Ice Pellets,Hail,Smoke
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,3/15/2018,0.31,0,0,,41,29,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,3/16/2018,0,0,0,,47,29,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,3/17/2018,0,0,0,,50,29,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,3/18/2018,0.22,0,0,,44,31,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,3/19/2018,0.04,0,0,,44,35,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,3/20/2018,0,0,0,,45,30,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,3/21/2018,0,0,0,,48,30,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,3/22/2018,0.02,0,0,,55,31,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,3/23/2018,0.75,0.2,0,,40,31,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,3/24/2018,0.51,4.6,5,,37,30,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,3/25/2018,0,0,0,,38,29,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,3/26/2018,0.18,0.2,0,,40,29,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,3/27/2018,1.15,0,0,,42,31,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,3/28/2018,1.03,0,0,,45,36,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,3/29/2018,0.19,0,0,,42,36,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,3/30/2018,0.02,0,0,,46,36,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,3/31/2018,0.01,0,0,,48,39,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,4/1/2018,0.02,0,0,,52,36,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,4/2/2018,0.67,1,1,,39,30,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,4/3/2018,0,0,0,,41,30,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,4/4/2018,0.11,0,0,,44,33,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,4/5/2018,0.77,0,0,,42,34,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,4/6/2018,0.68,0,0,,48,40,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,4/7/2018,0.65,,0,,,,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,4/8/2018,1.12,0,0,,47,37,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,4/9/2018,1.63,0,0,,43,37,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,4/10/2018,0.08,0,0,,56,41,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,4/11/2018,0.54,0,0,,48,38,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,4/12/2018,0.63,0,0,,48,34,,,,,
